field,dtype,missing_count,unique_count,unique_values,field_kind,available_in_protocol_b_source,possible_target,possible_leakage_risk,semantics
user_id,Int64,0,23951,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22] ... (+23931)",identifier,True,no,identity/linkage field; not a behavior target,ID пользователя. В README KuaiRand-1K описание ошибочно называет его video ID; по смыслу и usage это user ID.
video_id,Int64,0,7111,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19, 20, 21] ... (+7091)",identifier,True,no,identity/linkage field; not a behavior target,ID видео; в Protocol B переименован в item_id.
date,Int64,0,13,"[20220409, 20220410, 20220411, 20220412, 20220413, 20220414, 20220415, 20220416, 20220417, 20220418, 20220419, 20220420, 20220421]",categorical,True,no,context field; future use needs time-aware policy review,Дата interaction в формате YYYYMMDD.
hourmin,Int64,0,24,"[0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100, 1200, 1300, 1400, 1500, 1600, 1700, 1800, 1900] ... (+4)",categorical,True,no,context field; future use needs time-aware policy review,Время interaction в компактном формате HHMM/HHSS из датасета.
time_ms,Int64,0,1046086,"[1649475963278, 1649476012164, 1649476421916, 1649476523839, 1649476630340, 1649476742423, 1649476787404, 1649476800158, 1649476886158, 1649476886308, 1649476925117, 1649476951047, 1649476971601, 1649476978588, 1649477146477, 1649477155751, 1649477278239, 1649477446035, 1649477488922, 1649477559363] ... (+1046066)",identifier,True,no,identity/linkage field; not a behavior target,Timestamp interaction в миллисекундах; в Protocol B поле timestamp.
is_click,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input","Бинарный post-exposure feedback. В двухколоночном UI означает click; в одноколоночном UI означает valid_play: 1, если play_duration >= video_duration при video_duration <= 7s, иначе play_duration > 7s."
is_like,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure feedback: пользователь нажал like.
is_follow,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure feedback: пользователь подписался на автора.
is_comment,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure feedback: пользователь оставил комментарий.
is_forward,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure feedback: пользователь переслал/поделился видео.
is_hate,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure negative feedback: пользователь отметил видео как нежелательное.
long_view,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input","Бинарный derived post-exposure feedback: 1, если play_duration >= video_duration при video_duration <= 18s, иначе play_duration >= 18s."
play_time_ms,Int64,0,141999,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19] ... (+141979)",continuous,True,possible_regression_or_auxiliary,"post-exposure label/current interaction: target-only, forbidden as same-row input",Время просмотра пользователем в миллисекундах.
duration_ms,Int64,0,5462,"[0, 5000, 5047, 5200, 6000, 6041, 6133, 6233, 6266, 6300, 6366, 6400, 6466, 6483, 6520, 6533, 6573, 6600, 6633, 6666] ... (+5442)",continuous,True,source_for_derived_watch_targets,"post-exposure label/current interaction: target-only, forbidden as same-row input",Длительность видео в миллисекундах.
profile_stay_time,Int64,0,120,"[0, 39, 65, 118, 213, 369, 611, 756, 867, 963, 1003, 1051, 1161, 1179, 1205, 1252, 1357, 1359, 1370, 1403] ... (+100)",continuous,True,possible_regression_or_auxiliary,"post-exposure label/current interaction: target-only, forbidden as same-row input",Время пребывания пользователя в профиле автора.
comment_stay_time,Int64,0,21923,"[0, 2, 3, 4, 8, 10, 11, 12, 13, 14, 15, 16, 22, 24, 26, 29, 49, 70, 130, 131] ... (+21903)",continuous,True,possible_regression_or_auxiliary,"post-exposure label/current interaction: target-only, forbidden as same-row input",Время пребывания пользователя в секции комментариев.
is_profile_enter,Int64,0,2,"[0, 1]",binary,True,yes,"post-exposure label/current interaction: target-only, forbidden as same-row input",Бинарный post-exposure feedback: пользователь вошел в профиль автора.
is_rand,Int64,0,1,[0],binary,True,no,constant standard-policy flag in Protocol B; not useful as target,"Флаг random intervention; в Protocol B source должен быть 0, так как используется standard log."
tab,Int64,0,15,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",categorical,True,no,context field; future use needs time-aware policy review,"Сценарий/поверхность interaction в приложении, диапазон 0..14."
play_ratio,Float64,23810,897959,"[0.0, 2.866019328434351e-06, 3.3780017768289346e-06, 4.139758238118894e-06, 4.284490145672665e-06, 5e-06, 5.417617006983308e-06, 5.584002948353557e-06, 5.90261279155218e-06, 5.926979611190138e-06, 6.4047959111782904e-06, 7.720040453011974e-06, 9.095043201455207e-06, 9.172208209126346e-06, 9.230797633223486e-06, 9.578544061302682e-06, 1.0635469290082425e-05, 1.1544722330186755e-05, 1.2382674162312094e-05, 1.4411990776325903e-05] ... (+897938)",continuous,False,possible_regression_or_auxiliary,"post-exposure label/current interaction: target-only, forbidden as same-row input",Derived audit field: play_time_ms / duration_ms только при duration_ms > 0.
